Local Government Area,Cases*,Cases with unknown source,Total tests,Test rate (per 1000)
Albury,0,0,3617,67
Armidale Regional,0,0,2002,65
Ballina,0,0,3031,68
Balranald,0,0,78,33
Bathurst Regional,0,0,3708,85
Bayside,24,1,34401,193
Bega Valley,0,0,1929,56
Bellingen,0,0,787,61
Berrigan,0,0,229,26
Blacktown,4,1,42370,113
Bland,0,0,277,46
Blayney,0,0,563,76
Blue Mountains,0,0,11894,150
Bogan,0,0,100,39
Bourke,0,0,314,121
Brewarrina,0,0,52,32
Broken Hill,0,0,803,46
Burwood,5,1,5419,133
Byron,0,0,2341,67
Cabonne,0,0,696,51
Camden,7,0,19340,191
Campbelltown,12,0,22363,131
Canada Bay,6,0,18969,197
Canterbury-Bankstown,73,13,47624,126
Carrathool,0,0,76,27
Central Coast,3,0,34955,102
Central Darling,0,0,54,29
Cessnock,0,0,2755,46
Clarence Valley,0,0,1948,38
Cobar,0,0,178,38
Coffs Harbour,0,0,4137,54
Coolamon,0,0,261,60
Coonamble,0,0,209,53
Cootamundra-Gundagai Regional,0,0,673,60
Cowra,0,0,684,54
Cumberland,19,4,32613,135
Dubbo Regional,0,0,4530,84
Dungog,0,0,485,51
Edward River,0,0,253,28
Eurobodalla,0,0,2453,64
Fairfield,105,23,19707,93
Federation,0,0,528,42
Forbes,0,0,534,54
Georges River,29,2,24195,152
Gilgandra,0,0,211,50
Glen Innes Severn,0,0,295,33
Goulburn Mulwaree,0,0,2170,70
Greater Hume Shire,0,0,592,55
Griffith,0,0,2094,77
Gunnedah,0,0,713,56
Gwydir,0,0,150,28
Hawkesbury,0,0,6751,100
Hay,0,0,89,30
Hilltops,0,0,1155,62
Hornsby,3,0,19537,128
Hunters Hill,1,0,5488,366
Inner West,3,1,40459,201
Inverell,0,0,830,49
Junee,0,0,283,42
Kempsey,0,0,1609,54
Kiama,0,0,3155,135
Ku-Ring-Gai,1,0,25418,200
Kyogle,0,0,313,36
Lachlan,0,0,184,30
Lake Macquarie,0,0,19633,95
Lane Cove,0,0,13636,340
Leeton,0,0,553,48
Lismore,0,0,2346,54
Lithgow,0,0,1068,49
Liverpool,37,2,25553,112
Liverpool Plains,0,0,368,47
Lockhart,0,0,145,44
Maitland,0,0,8811,103
Mid-Coast,0,0,4482,48
Mid-Western Regional,0,0,1742,69
Moree Plains,0,0,1022,77
Mosman,0,0,5793,187
Murray River,0,0,148,12
Murrumbidgee,0,0,168,43
Muswellbrook,0,0,878,54
Nambucca,0,0,848,43
Narrabri,0,0,486,37
Narrandera,0,0,199,34
Narromine,0,0,389,60
Newcastle,0,0,17488,106
North Sydney,3,0,11700,156
Northern Beaches,0,0,51449,188
Oberon,0,0,293,54
Orange,0,0,4447,105
Parkes,0,0,769,52
Parramatta,13,1,34967,136
Penrith,4,0,22439,105
Port Macquarie-Hastings,0,0,5840,69
Port Stephens,0,0,5458,74
Queanbeyan-Palerang Regional,0,0,3109,51
Randwick,50,3,70269,451
Richmond Valley,0,0,982,42
Ryde,1,0,25686,196
Shellharbour,0,0,7872,107
Shoalhaven,0,0,8339,79
Singleton,0,0,1560,66
Snowy Monaro Regional,0,0,1500,72
Snowy Valleys,0,0,718,50
Strathfield,10,1,9752,208
Sutherland Shire,11,2,39439,171
Sydney,28,4,66539,270
Tamworth Regional,0,0,4848,78
Temora,0,0,193,31
Tenterfield,0,0,132,20
The Hills Shire,13,0,34054,191
Tweed,0,0,4100,42
Unincorporated NSW,0,0,0,0
Upper Hunter Shire,0,0,795,56
Upper Lachlan Shire,0,0,521,65
Uralla,0,0,276,46
Wagga Wagga,0,0,5680,87
Walcha,0,0,223,71
Walgett,0,0,232,39
Warren,0,0,263,98
Warrumbungle Shire,0,0,483,52
Waverley,69,7,46409,625
Weddin,0,0,163,45
Wentworth,0,0,329,47
Willoughby,3,0,11093,137
Wingecarribee,0,0,5662,111
Wollondilly,0,0,3871,73
Wollongong,6,0,26198,120
Woollahra,19,1,31132,524
Yass Valley,0,0,751,44
NSW Total**,566,67,1157714,141
